"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","MORAVA","MORAVICANY","CZ","49.75","1559","104","1911","2014"
"2","AMPER","INKOFEN","DE","48.4607","3043","88","1925","2012"
"3","EDER","SCHMITTLOTHEIM","DE","51.1557","1202","83","1930","2012"
"4","DANUBE RIVER","BERG","DE","48.2663","4036","85","1929","2013"
"5","FULDA","ROTENBURG","DE","51.004","2523","94","1920","2013"
"6","KOKEMAENJOKI","MUROLEENKOSKI","FI","61.854","6102","151","1863","2013"
"7","OULUJOKI","LAKE LENTUA OUTLET","FI","64.19","2045","103","1911","2013"
"8","KALAJOKI","NISKAKOSKI (NEAR THE MOUTH)","FI","64.203","3065","101","1911","2011"
"9","GAVE D'OLORON","OLORON-SAINTE-MARIE (OLORON-SNCF)","FR","43.1979","1085","101","1912","2012"
"10","TANA (NO, FI)","POLMAK NYE","NO","70.0703","14160","104","1911","2014"
"11","GAULA","HAGA BRU","NO","63.04","3062","108","1908","2015"
"12","MAALSELV","MALANGSFOSS","NO","69.0349","3239","108","1907","2014"
"13","VINDELAELVEN","SORSELE 2","SE","65.5422","6056.3","108","1909","2016"
"14","VAESTERDALAELVEN","ERSBO","SE","61.3095","1103.8","105","1912","2016"
"15","VISKAN","ASBRO 3","SE","57.2398","2160.2","108","1909","2016"
"16","FYRSJOEN","FYRAS","SE","63.517","2428.4","94","1923","2016"
"17","HRON","BREHY","SK","48.4072","3821","79","1930","2008"
"18","EMAJOGI","TARTU","EE","58.366","7850","10","1978","1987"
"19","GUADIANA MENOR O BAZA","POSITO","ES","37.8825","6349","79","1912","1990"
"20","LEA","FEILDES WEIR","GB","51.764","1036","135","1879","2013"
"21","DEE","WOODEND","GB","57.05","1370","85","1929","2013"
"22","THAMES","KINGSTON (NATURALISED DISCHARGE)","GB","51.414","9948","131","1883","2013"
"23","VOSSO","BULKEN","NO","60.63","1102","124","1892","2015"
"24","KLARA","NYBERGSUND","NO","61.259004","4410","100","1908","2007"
"25","GLAMA","LANGNES","NO","59.6092","40540","113","1901","2013"
"26","MUONIOAELVEN, MUONIONJOKI","KALLIO 2","SE","67.2249","14477.1","106","1911","2016"
"27","PECHORA","YAKSHA","RU","61.82","9620","67","1936","2002"
"28","SOLZA","SUKHIE POROGY","RU","64.38","1190","65","1936","2000"
"29","URA","URA-GUBA","RU","69.27","1020","60","1935","1994"
"30","VIM","VESLYANA","RU","62.98","19100","67","1936","2002"
"31","YEMTSA","MOST","RU","62.97","1860","73","1928","2000"
"32","SULA","KOTKINA","RU","67.03","8500","66","1936","2001"
"33","PONOY","KANEVKA","RU","67.13","10200","55","1949","2003"
"34","PINEGA","KULOGORY","RU","64.71","36700","53","1936","1988"
