"","V1","V2"
"1","MORAVA","CZ_0000019"
"2","AMPER","DE_0000187"
"3","EDER","DE_0000694"
"4","DANUBE RIVER","DE_0000756"
"5","FULDA","DE_0000825"
"6","KOKEMAENJOKI","FI_0000047"
"7","OULUJOKI","FI_0000088"
"8","KALAJOKI","FI_0000119"
"9","GAVE D'OLORON","FR_0001245"
"10","TANA (NO, FI)","NO_0000184"
"11","GAULA","NO_0000195"
"12","MAALSELV","NO_0000207"
"13","VINDELAELVEN","SE_0000040"
"14","VAESTERDALAELVEN","SE_0000043"
"15","VISKAN","SE_0000062"
"16","FYRSJOEN","SE_0000069"
"17","HRON","SK_0000033"
"18","EMAJOGI","EE_0000003"
"19","GUADIANA MENOR O BAZA","ES_0000674"
"20","LEA","GB_0000078"
"21","DEE","GB_0000220"
"22","THAMES","GB_0000238"
"23","VOSSO","NO_0000073"
"24","KLARA","NO_0000181"
"25","GLAMA","NO_0000191"
"26","MUONIOAELVEN, MUONIONJOKI","SE_0000089"
"27","PECHORA","RU_0000120"
"28","SOLZA","RU_0000220"
"29","URA","RU_0000225"
"30","VIM","RU_0000453"
"31","YEMTSA","RU_0000454"
"32","SULA","RU_0000457"
"33","PONOY","RU_0000462"
"34","PINEGA","RU_0000471"
