"","V1","V2","V3","V4","V5","V6"
"1","PTICH","DARAGANOVO (KOMARINO)","53.2","28.43","152.07","2010"
"2","THUR (CH)","ANDELFINGEN","47.5965","8.682","402.75","1696"
"3","SAZAVA","ZRUC NAD SAZAVOU","49.74","15.1","324","1421"
"4","MORAVA","MORAVICANY","49.75","16.9667","244","1559"
"5","AMPER","INKOFEN","48.4607","11.8652","417.34","3043"
"6","EDER","SCHMITTLOTHEIM","51.1557","8.8982","245.87","1202"
"7","DANUBE RIVER","BERG","48.2663","9.7314","492.12","4036"
"8","FULDA","ROTENBURG","51.004","9.72","179.54","2523"
"9","ZACKENBERG RIVER","ZACKENBERG HYDROMETRIC STATION","74.471","-20.577","14","514"
"10","KOKEMAENJOKI","MUROLEENKOSKI","61.854","23.911","96","6102"
"11","GAVE D'OLORON","OLORON-SAINTE-MARIE (OLORON-SNCF)","43.1979","-0.6085","266.78","1085"
"12","LEE RIVER","FEILDES WEIR","51.764","0.014","27.7","1036"
"13","THAMES","KINGSTON","51.414","-0.307","4.7","9948"
"14","DEE (SCOTLAND)","WOODEND","57.05","-2.6","71","1370"
"15","THAMES","KINGSTON (NATURALISED DISCHARGE)","51.414","-0.307","4.7","9948"
"16","OELFUSA","SELFOSS","63.9381","-21.0067","12","5678"
"17","VOSSO","BULKEN","60.63","6.28","46","1102"
"18","TANA (NO, FI)","POLMAK","70.07","28.05",NA,"14165"
"19","MAALSELV","MALANGSFOSS","69.0349","18.6583","26.06","3239"
"20","MEZEN","MALONISOGORSKAYA","65.033","45.617","19","56400"
"21","PECHORA","UST-TSILMA","65.449","52.098","11","248000"
"22","PECHORA","YAKSHA","61.82","56.85","118.95","9620"
"23","PONOY","KANEVKA","67.133","39.667",NA,"10200"
"24","KOLA","1429TH KM","68.83","33.08","200","3780"
"25","LEL'","ZELENINSKAYA","62.25","42.67","31.03","2240"
"26","SUKHONA","RABAN'GA","59.43","40.22","105.74","15500"
"27","VIM","VESLYANA","62.98","50.88","80.93","19100"
"28","IZHMA","UST'-UKHTA","63.62","53.9","65.57","15000"
"29","SULA","KOTKINA","67.03","51.13","8.04","8500"
"30","PINEGA","KULOGORY","64.71","43.48","13","36700"
"31","VINDELAELVEN","SORSELE 2","65.5422","17.5083","340","6056.3"
"32","VAESTERDALAELVEN","ERSBO","61.3095","13.0081",NA,"1103.8"
"33","ROERAN","YTTERHOLMEN","66.1708","21.8077","51","1012"
"34","MUONIOAELVEN, MUONIONJOKI","KALLIO 2","67.2249","23.5431",NA,"14477.1"
"35","HRON","BREHY","48.4072","18.6478","195","3821"
