"","V1","V2","V3","V4","V5"
"1","PTICH","DARAGANOVO (KOMARINO)","Agriculture","Snow","0"
"2","SAZAVA","ZRUC NAD SAZAVOU","Agriculture","Snow","0"
"3","ELBE RIVER","DRESDEN","No dominant class","Snow","19"
"4","DANUBE RIVER","ACHLEITEN","No dominant class","Snow","18"
"5","ZACKENBERG RIVER","ZACKENBERG HYDROMETRIC STATION","Sparse vegetation","Polar","0"
"6","EMAJOGI","TARTU","Forest","Snow","0"
"7","OULUJOKI","LAKE LENTUA OUTLET","Forest","Snow","0"
"8","KALAJOKI","NISKAKOSKI (NEAR THE MOUTH)","Forest","Snow","0"
"9","THAMES","KINGSTON","Agriculture","Warm Temperate","0"
"10","RIBBLE","SAMLESBURY","Grassland","Warm Temperate","1"
"11","OELFUSA","SELFOSS","No dominant class","Snow","0"
"12","NEMUNAS - NEMAN","SMALININKAI","Agriculture","Snow","2"
"13","RHINE RIVER","LOBITH","No dominant class","Warm Temperate","42"
"14","TANA (NO, FI)","POLMAK","No dominant class","Snow","0"
"15","GLAMA","SKARNES","Forest","Snow","0"
"16","LOSNA","LOSNA","No dominant class","Snow","1"
"17","BAYELVA","BAYELVA (SVALBARD)","No dominant class","Polar","0"
"18","SZAMOS","SATU MARE","No dominant class","Snow","3"
"19","TIMPTON","NAGORNY","Forest","Snow","0"
"20","SEVERNAYA DVINA (NORTHERN DVINA)","UST-PINEGA","Forest","Snow","0"
"21","NEVA","NOVOSARATOVKA","Forest","Snow","8"
"22","ZAP.DVINA","ZAP.DVINA","Forest","Snow","0"
"23","PASHA","PORETCHJE","Forest","Snow","0"
"24","SUKHONA","RABAN'GA","Forest","Snow","0"
"25","YEMTSA","MOST","Forest","Snow","0"
"26","PINEGA","KULOGORY","Forest","Snow","0"
"27","TORNETRAESK","ABISKO","Forest","Snow","0"
"28","ROERAN","YTTERHOLMEN","Forest","Snow","0"
"29","HRON","BREHY","Forest","Snow","0"
