"","x"
"1","BY_0000025 0 100 character NA 52 134.106870229008 NA NA"
"2","CZ_0000011 25 75 72.65 80.8325 52 134.106870229008 1976 2013"
"3","DE_0000722 12 88 1555 1712.60096153846 52 134.106870229008 1806 2013"
"4","DE_0000769 51 49 3760 3966.31578947368 52 134.106870229008 1906 2013"
"5","DK_0000036 70 30 64.25 67.72975 52 134.106870229008 1999 2014"
"6","EE_0000003 10 90 131.5 135.5 52 134.106870229008 1978 1983"
"7","FI_0000088 2 98 75 76.9888349514563 52 134.106870229008 1911 2012"
"8","FI_0000119 11 89 239.66 244.649801980198 52 134.106870229008 1911 2008"
"9","GB_0000081 6 94 312 327.012213740458 52 134.106870229008 1883 2013"
"10","GB_0000162 28 72 349 360.990740740741 52 134.106870229008 1960 2012"
"11","IS_0000025 14 86 955.38 1080.47138461538 52 134.106870229008 1953 2013"
"12","LT_0000005 0 100 character NA 52 134.106870229008 NA NA"
"13","NL_0000021 7 92 6420 6624.17699115044 52 134.106870229008 1914 2012"
"14","NO_0000167 0 100 character NA 52 134.106870229008 NA NA"
"15","NO_0000192 0 100 character NA 52 134.106870229008 NA NA"
"16","NO_0000194 19 79 1297.963 1365.21247058824 52 134.106870229008 1896 2014"
"17","NO_0000203 85 11 12.396 13.0972222222222 52 134.106870229008 1989 2008"
"18","RO_0000016 0 100 character NA 52 134.106870229008 NA NA"
"19","RU_0000013 0 100 character NA 52 134.106870229008 NA NA"
"20","RU_0000112 0 100 character NA 52 134.106870229008 NA NA"
"21","RU_0000141 0 100 character NA 52 134.106870229008 NA NA"
"22","RU_0000184 0 100 character NA 52 134.106870229008 NA NA"
"23","RU_0000203 4 96 115 117.950909090909 52 134.106870229008 1936 1987"
"24","RU_0000452 0 100 character NA 52 134.106870229008 NA NA"
"25","RU_0000454 0 100 character NA 52 134.106870229008 NA NA"
"26","RU_0000471 0 100 3550 3757.92452830189 52 134.106870229008 1938 1986"
"27","SE_0000061 48 47 227 231.077777777778 52 134.106870229008 1918 2015"
"28","SE_0000086 3 97 121 120.940752688172 52 134.106870229008 1924 2015"
"29","SK_0000033 24 76 315 340.337379746835 52 134.106870229008 1931 2006"
