gsim.no,river,station,country,latitude,longitude,altitude,area,unit,year.start,year.end,year.no,list_grdc_,layer,path
CZ_0000019,MORAVA,MORAVICANY,CZ,49.750000000000000,16.966699999999999,"244","1559",m3/s,"1911","2014","104","6142100",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
DE_0000187,AMPER,INKOFEN,DE,48.460700000000003,11.865200000000000,"417.34","3043",m3/s,"1925","2012","88","6342650",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
DE_0000694,EDER,SCHMITTLOTHEIM,DE,51.155700000000003,8.898199999999999,"245.87","1202",m3/s,"1930","2012","83","6337504",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
DE_0000756,DANUBE RIVER,BERG,DE,48.266300000000001,9.731400000000001,"492.12","4036",m3/s,"1929","2013","85","6342502",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
DE_0000825,FULDA,ROTENBURG,DE,51.003999999999998,9.720000000000001,"179.54","2523",m3/s,"1920","2013","94","6337508",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
FI_0000047,KOKEMAENJOKI,MUROLEENKOSKI,FI,61.853999999999999,23.911000000000001,"96","6102",m3/s,"1863","2013","151","6854104",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
FI_0000088,OULUJOKI,LAKE LENTUA OUTLET,FI,64.189999999999998,29.584000000000000,"165","2045",m3/s,"1911","2013","103","6854590",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
FI_0000119,KALAJOKI,NISKAKOSKI (NEAR THE MOUTH),FI,64.203000000000003,24.114000000000001,"30","3065",m3/s,"1911","2011","101","6854800",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
FR_0001245,GAVE D'OLORON,OLORON-SAINTE-MARIE (OLORON-SNCF),FR,43.197899999999997,-0.608500000000000,"266.78","1085",m3/s,"1912","2012","101","6119030",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
NO_0000184,"TANA (NO, FI)",POLMAK NYE,NO,70.070300000000003,28.016200000000001,"20","14160",m3/s,"1911","2014","104","6730501",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
NO_0000195,GAULA,HAGA BRU,NO,63.039999999999999,10.170000000000000,"54","3062",m3/s,"1908","2015","108","6731500",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
NO_0000207,MAALSELV,MALANGSFOSS,NO,69.034899999999993,18.658300000000001,"26.06","3239",m3/s,"1907","2014","108","6731907",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
SE_0000040,VINDELAELVEN,SORSELE 2,SE,65.542199999999994,17.508299999999998,"340","6056.3",m3/s,"1909","2016","108","6233680",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
SE_0000043,VAESTERDALAELVEN,ERSBO,SE,61.309500000000000,13.008100000000001,NA,"1103.8",m3/s,"1912","2016","105","6233205",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
